Date,Hour,Station,Boarding_Count,Exit_Count,DateTime,Boarding_Capped,DayOfWeek,DayOfMonth,WeekOfYear,Is_Weekend,Hour_Sin,Hour_Cos,Day_Sin,Day_Cos,Is_Morning_Peak,Is_Evening_Peak,Is_Peak_Hour,Lag_1h,Lag_2h,Lag_24h,Rolling_3h,Rolling_3h_Std,Station_AvgTraffic
2025-08-02,0,Attiguppe,0,0,2025-08-02 00:00:00,0,5,2,31,1,0.0,1.0,-0.9749279121818236,-0.2225209339563146,0,0,0,23.0,141.0,0.0,122.0,91.00000000000234,350.94184027777777
2025-08-02,1,Attiguppe,0,0,2025-08-02 01:00:00,0,5,2,31,1,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,0,0,0,0.0,23.0,0.0,54.666666666666664,75.64610587025476,350.94184027777777
2025-08-02,2,Attiguppe,0,0,2025-08-02 02:00:00,0,5,2,31,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0,0,0,0.0,0.0,0.0,7.666666666666667,13.2790561913794,350.94184027777777
2025-08-02,3,Attiguppe,0,0,2025-08-02 03:00:00,0,5,2,31,1,0.7071067811865476,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,0,0,0,0.0,0.0,0.0,0.0,0.0,350.94184027777777
2025-08-02,4,Attiguppe,10,0,2025-08-02 04:00:00,10,5,2,31,1,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0,0,0,0.0,0.0,6.0,0.0,0.0,350.94184027777777
2025-08-02,5,Attiguppe,62,27,2025-08-02 05:00:00,62,5,2,31,1,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,0,0,0,10.0,0.0,65.0,3.3333333333333335,5.773502691937841,350.94184027777777
2025-08-02,6,Attiguppe,174,69,2025-08-02 06:00:00,174,5,2,31,1,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0,0,0,62.0,10.0,219.0,24.0,33.286633954193555,350.94184027777777
2025-08-02,7,Attiguppe,413,140,2025-08-02 07:00:00,413,5,2,31,1,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,0,0,0,174.0,62.0,646.0,82.0,83.80930735903051,350.94184027777777
2025-08-02,8,Attiguppe,646,249,2025-08-02 08:00:00,646,5,2,31,1,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,0,0,0,413.0,174.0,1338.0,216.33333333333334,179.28840825143638,350.94184027777777
2025-08-02,9,Attiguppe,1110,219,2025-08-02 09:00:00,1110,5,2,31,1,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,0,0,0,646.0,413.0,1818.0,411.0,236.0063558466176,350.94184027777777
2025-08-02,10,Attiguppe,780,219,2025-08-02 10:00:00,780,5,2,31,1,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0,0,0,1110.0,646.0,1039.0,723.0,354.8224908316836,350.94184027777777
2025-08-02,11,Attiguppe,464,213,2025-08-02 11:00:00,464,5,2,31,1,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,0,0,0,780.0,1110.0,502.0,845.3333333333334,238.799776660979,350.94184027777777
2025-08-02,12,Attiguppe,462,334,2025-08-02 12:00:00,462,5,2,31,1,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,0,0,464.0,780.0,364.0,784.6666666666666,323.02528280822463,350.94184027777777
2025-08-02,13,Attiguppe,477,404,2025-08-02 13:00:00,477,5,2,31,1,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,0,0,0,462.0,464.0,336.0,568.6666666666666,183.02276725405937,350.94184027777777
2025-08-02,14,Attiguppe,408,461,2025-08-02 14:00:00,408,5,2,31,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0,0,0,477.0,462.0,318.0,467.6666666666667,8.144527815266569,350.94184027777777
2025-08-02,15,Attiguppe,335,440,2025-08-02 15:00:00,335,5,2,31,1,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,0,0,0,408.0,477.0,317.0,449.0,36.29049462325263,350.94184027777777
2025-08-02,16,Attiguppe,357,460,2025-08-02 16:00:00,357,5,2,31,1,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0,0,0,335.0,408.0,307.0,406.6666666666667,71.00938905055922,350.94184027777777
2025-08-02,17,Attiguppe,446,664,2025-08-02 17:00:00,446,5,2,31,1,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,0,0,0,357.0,335.0,324.0,366.6666666666667,37.447741364916745,350.94184027777777
2025-08-02,18,Attiguppe,442,879,2025-08-02 18:00:00,442,5,2,31,1,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,0,0,0,446.0,357.0,371.0,379.3333333333333,58.773576829504684,350.94184027777777
2025-08-02,19,Attiguppe,385,809,2025-08-02 19:00:00,385,5,2,31,1,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,0,0,0,442.0,446.0,369.0,415.0,50.2692749102306,350.94184027777777
2025-08-02,20,Attiguppe,309,585,2025-08-02 20:00:00,309,5,2,31,1,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0,0,0,385.0,442.0,329.0,424.3333333333333,34.12232895529946,350.94184027777777
2025-08-02,21,Attiguppe,221,424,2025-08-02 21:00:00,221,5,2,31,1,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,0,0,0,309.0,385.0,202.0,378.6666666666667,66.72580710140333,350.94184027777777
2025-08-02,22,Attiguppe,140,311,2025-08-02 22:00:00,140,5,2,31,1,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,0,0,0,221.0,309.0,141.0,305.0,82.07313811473513,350.94184027777777
2025-08-02,23,Attiguppe,23,164,2025-08-02 23:00:00,23,5,2,31,1,-0.25881904510252157,0.9659258262890681,-0.9749279121818236,-0.2225209339563146,0,0,0,140.0,221.0,23.0,223.33333333333334,84.52415828231452,350.94184027777777
2025-08-03,0,Attiguppe,0,0,2025-08-03 00:00:00,0,6,3,31,1,0.0,1.0,-0.7818314824680299,0.6234898018587334,0,0,0,23.0,140.0,0.0,128.0,99.5439601382247,350.94184027777777
2025-08-03,1,Attiguppe,0,0,2025-08-03 01:00:00,0,6,3,31,1,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,0,0,0,0.0,23.0,0.0,54.333333333333336,75.07551753623704,350.94184027777777
2025-08-03,2,Attiguppe,0,0,2025-08-03 02:00:00,0,6,3,31,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,0,0,0.0,0.0,0.0,7.666666666666667,13.279056191381006,350.94184027777777
2025-08-03,3,Attiguppe,0,0,2025-08-03 03:00:00,0,6,3,31,1,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,0,0,0,0.0,0.0,0.0,0.0,0.0,350.94184027777777
2025-08-03,4,Attiguppe,0,0,2025-08-03 04:00:00,0,6,3,31,1,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0,0,0,0.0,0.0,10.0,0.0,0.0,350.94184027777777
2025-08-03,5,Attiguppe,0,0,2025-08-03 05:00:00,0,6,3,31,1,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,0,0,0,0.0,0.0,62.0,0.0,0.0,350.94184027777777
2025-08-03,6,Attiguppe,2,0,2025-08-03 06:00:00,2,6,3,31,1,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0,0,0,0.0,0.0,174.0,0.0,0.0,350.94184027777777
2025-08-03,7,Attiguppe,275,108,2025-08-03 07:00:00,275,6,3,31,1,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0,0,0,2.0,0.0,413.0,0.6666666666666666,1.15470053860606,350.94184027777777
2025-08-03,8,Attiguppe,288,173,2025-08-03 08:00:00,288,6,3,31,1,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,0,0,0,275.0,2.0,646.0,92.33333333333333,158.197134403041,350.94184027777777
2025-08-03,9,Attiguppe,269,207,2025-08-03 09:00:00,269,6,3,31,1,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,0,0,0,288.0,275.0,1110.0,188.33333333333334,161.50025799773132,350.94184027777777
2025-08-03,10,Attiguppe,408,172,2025-08-03 10:00:00,408,6,3,31,1,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,0,0,269.0,288.0,780.0,277.3333333333333,9.712534856243728,350.94184027777777
2025-08-03,11,Attiguppe,427,294,2025-08-03 11:00:00,427,6,3,31,1,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,0,0,0,408.0,269.0,464.0,321.6666666666667,75.36798613027776,350.94184027777777
2025-08-03,12,Attiguppe,408,250,2025-08-03 12:00:00,408,6,3,31,1,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0,0,0,427.0,408.0,462.0,368.0,86.26123115282088,350.94184027777777
2025-08-03,13,Attiguppe,467,288,2025-08-03 13:00:00,467,6,3,31,1,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,0,0,0,408.0,427.0,477.0,414.3333333333333,10.969655114620545,350.94184027777777
2025-08-03,14,Attiguppe,370,299,2025-08-03 14:00:00,370,6,3,31,1,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0,0,0,467.0,408.0,408.0,434.0,30.116440692757557,350.94184027777777
2025-08-03,15,Attiguppe,358,303,2025-08-03 15:00:00,358,6,3,31,1,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,0,0,0,370.0,467.0,335.0,415.0,48.8773976394037,350.94184027777777
2025-08-03,16,Attiguppe,356,341,2025-08-03 16:00:00,356,6,3,31,1,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0,0,0,358.0,370.0,357.0,398.3333333333333,59.76899976855665,350.94184027777777
2025-08-03,17,Attiguppe,409,565,2025-08-03 17:00:00,409,6,3,31,1,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0,0,0,356.0,358.0,446.0,361.3333333333333,7.571877794426835,350.94184027777777
2025-08-03,18,Attiguppe,333,448,2025-08-03 18:00:00,333,6,3,31,1,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,0,0,0,409.0,356.0,442.0,374.3333333333333,30.038863715755475,350.94184027777777
2025-08-03,19,Attiguppe,303,468,2025-08-03 19:00:00,303,6,3,31,1,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,0,0,0,333.0,409.0,385.0,366.0,38.97435053981527,350.94184027777777
2025-08-03,20,Attiguppe,224,356,2025-08-03 20:00:00,224,6,3,31,1,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0,0,0,303.0,333.0,309.0,348.3333333333333,54.63820397243797,350.94184027777777
2025-08-03,21,Attiguppe,188,381,2025-08-03 21:00:00,188,6,3,31,1,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,0,0,0,224.0,303.0,221.0,286.6666666666667,56.305713150032574,350.94184027777777
2025-08-03,22,Attiguppe,142,329,2025-08-03 22:00:00,142,6,3,31,1,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,0,0,0,188.0,224.0,140.0,238.33333333333334,58.824598029512806,350.94184027777777
2025-08-03,23,Attiguppe,10,153,2025-08-03 23:00:00,10,6,3,31,1,-0.25881904510252157,0.9659258262890681,-0.7818314824680299,0.6234898018587334,0,0,0,142.0,188.0,23.0,184.66666666666666,41.1015003781343,350.94184027777777
2025-08-04,0,Attiguppe,0,1,2025-08-04 00:00:00,0,0,4,32,0,0.0,1.0,0.0,1.0,0,0,0,10.0,142.0,0.0,113.33333333333333,92.39769116884787,350.94184027777777
2025-08-04,1,Attiguppe,0,0,2025-08-04 01:00:00,0,0,4,32,0,0.25881904510252074,0.9659258262890683,0.0,1.0,0,0,0,0.0,10.0,0.0,50.666666666666664,79.2548631525776,350.94184027777777
2025-08-04,2,Attiguppe,0,0,2025-08-04 02:00:00,0,0,4,32,0,0.49999999999999994,0.8660254037844387,0.0,1.0,0,0,0,0.0,0.0,0.0,3.3333333333333335,5.773502691937557,350.94184027777777
2025-08-04,3,Attiguppe,0,0,2025-08-04 03:00:00,0,0,4,32,0,0.7071067811865476,0.7071067811865476,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,350.94184027777777
2025-08-04,4,Attiguppe,5,14,2025-08-04 04:00:00,5,0,4,32,0,0.8660254037844386,0.5000000000000001,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,350.94184027777777
2025-08-04,5,Attiguppe,87,60,2025-08-04 05:00:00,87,0,4,32,0,0.9659258262890683,0.25881904510252074,0.0,1.0,0,0,0,5.0,0.0,0.0,1.6666666666666667,2.8867513460307808,350.94184027777777
2025-08-04,6,Attiguppe,254,97,2025-08-04 06:00:00,254,0,4,32,0,1.0,6.123233995736766e-17,0.0,1.0,0,0,0,87.0,5.0,2.0,30.666666666666668,48.85011088353644,350.94184027777777
2025-08-04,7,Attiguppe,715,164,2025-08-04 07:00:00,715,0,4,32,0,0.9659258262890683,-0.25881904510252063,0.0,1.0,1,0,1,254.0,87.0,275.0,115.33333333333333,126.89496969278882,350.94184027777777
2025-08-04,8,Attiguppe,1611,310,2025-08-04 08:00:00,1611,0,4,32,0,0.8660254037844387,-0.4999999999999998,0.0,1.0,1,0,1,715.0,254.0,288.0,352.0,325.26758215352544,350.94184027777777
2025-08-04,9,Attiguppe,1931,284,2025-08-04 09:00:00,1931,0,4,32,0,0.7071067811865476,-0.7071067811865475,0.0,1.0,1,0,1,1611.0,715.0,269.0,860.0,690.0224634024607,350.94184027777777
2025-08-04,10,Attiguppe,1155,263,2025-08-04 10:00:00,1155,0,4,32,0,0.49999999999999994,-0.8660254037844387,0.0,1.0,1,0,1,1931.0,1611.0,408.0,1419.0,630.3268993149508,350.94184027777777
2025-08-04,11,Attiguppe,521,209,2025-08-04 11:00:00,521,0,4,32,0,0.258819045102521,-0.9659258262890682,0.0,1.0,0,0,0,1155.0,1931.0,427.0,1565.6666666666667,389.98119612788173,350.94184027777777
2025-08-04,12,Attiguppe,406,296,2025-08-04 12:00:00,406,0,4,32,0,1.2246467991473532e-16,-1.0,0.0,1.0,0,0,0,521.0,1155.0,408.0,1202.3333333333333,706.1907202260121,350.94184027777777
2025-08-04,13,Attiguppe,349,351,2025-08-04 13:00:00,349,0,4,32,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0,0,0,0,406.0,521.0,467.0,694.0,403.35716183055547,350.94184027777777
2025-08-04,14,Attiguppe,295,354,2025-08-04 14:00:00,295,0,4,32,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0,0,0,349.0,406.0,370.0,425.3333333333333,87.61468674448655,350.94184027777777
2025-08-04,15,Attiguppe,322,473,2025-08-04 15:00:00,322,0,4,32,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0,0,0,0,295.0,349.0,358.0,350.0,55.50675634552286,350.94184027777777
2025-08-04,16,Attiguppe,293,761,2025-08-04 16:00:00,293,0,4,32,0,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0,0,0,322.0,295.0,356.0,322.0,27.00000000002345,350.94184027777777
2025-08-04,17,Attiguppe,312,1132,2025-08-04 17:00:00,312,0,4,32,0,-0.9659258262890683,-0.25881904510252063,0.0,1.0,0,1,1,293.0,322.0,409.0,303.3333333333333,16.196707484381403,350.94184027777777
2025-08-04,18,Attiguppe,338,1507,2025-08-04 18:00:00,338,0,4,32,0,-1.0,-1.8369701987210297e-16,0.0,1.0,0,1,1,312.0,293.0,333.0,309.0,14.730919862699613,350.94184027777777
2025-08-04,19,Attiguppe,258,1364,2025-08-04 19:00:00,258,0,4,32,0,-0.9659258262890684,0.2588190451025203,0.0,1.0,0,1,1,338.0,312.0,303.0,314.3333333333333,22.590558499838068,350.94184027777777
2025-08-04,20,Attiguppe,245,782,2025-08-04 20:00:00,245,0,4,32,0,-0.8660254037844386,0.5000000000000001,0.0,1.0,0,1,1,258.0,338.0,224.0,302.6666666666667,40.80849584749009,350.94184027777777
2025-08-04,21,Attiguppe,136,513,2025-08-04 21:00:00,136,0,4,32,0,-0.7071067811865477,0.7071067811865474,0.0,1.0,0,0,0,245.0,258.0,188.0,280.3333333333333,50.3620227287848,350.94184027777777
2025-08-04,22,Attiguppe,83,287,2025-08-04 22:00:00,83,0,4,32,0,-0.5000000000000004,0.8660254037844384,0.0,1.0,0,0,0,136.0,245.0,142.0,213.0,67.0000000000102,350.94184027777777
2025-08-04,23,Attiguppe,13,143,2025-08-04 23:00:00,13,0,4,32,0,-0.25881904510252157,0.9659258262890681,0.0,1.0,0,0,0,83.0,136.0,10.0,154.66666666666666,82.59741723162266,350.94184027777777
2025-08-05,0,Attiguppe,0,0,2025-08-05 00:00:00,0,1,5,32,0,0.0,1.0,0.7818314824680298,0.6234898018587336,0,0,0,13.0,83.0,0.0,77.33333333333333,61.69548875999626,350.94184027777777
2025-08-05,1,Attiguppe,0,0,2025-08-05 01:00:00,0,1,5,32,0,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,0,0,0,0.0,13.0,0.0,32.0,44.64302857111658,350.94184027777777
2025-08-05,2,Attiguppe,0,0,2025-08-05 02:00:00,0,1,5,32,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0,0,0,0.0,0.0,0.0,4.333333333333333,7.505553499568794,350.94184027777777
2025-08-05,3,Attiguppe,0,0,2025-08-05 03:00:00,0,1,5,32,0,0.7071067811865476,0.7071067811865476,0.7818314824680298,0.6234898018587336,0,0,0,0.0,0.0,0.0,0.0,0.0,350.94184027777777
2025-08-05,4,Attiguppe,6,0,2025-08-05 04:00:00,6,1,5,32,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0,0,0,0.0,0.0,5.0,0.0,0.0,350.94184027777777
2025-08-05,5,Attiguppe,59,43,2025-08-05 05:00:00,59,1,5,32,0,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,0,0,0,6.0,0.0,87.0,2.0,3.4641016153626514,350.94184027777777
2025-08-05,6,Attiguppe,213,76,2025-08-05 06:00:00,213,1,5,32,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0,0,0,59.0,6.0,254.0,21.666666666666668,32.470499431559006,350.94184027777777
2025-08-05,7,Attiguppe,798,145,2025-08-05 07:00:00,798,1,5,32,0,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,1,0,1,213.0,59.0,715.0,92.66666666666667,107.52829085098865,350.94184027777777
2025-08-05,8,Attiguppe,1691,295,2025-08-05 08:00:00,1691,1,5,32,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,1,0,1,798.0,213.0,1611.0,356.6666666666667,389.8850257875193,350.94184027777777
2025-08-05,9,Attiguppe,2101,271,2025-08-05 09:00:00,2101,1,5,32,0,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,1,0,1,1691.0,798.0,1931.0,900.6666666666666,744.32945214692,350.94184027777777
2025-08-05,10,Attiguppe,1143,229,2025-08-05 10:00:00,1143,1,5,32,0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,1,0,1,2101.0,1691.0,1155.0,1530.0,666.2529549653045,350.94184027777777
2025-08-05,11,Attiguppe,482,202,2025-08-05 11:00:00,482,1,5,32,0,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,0,0,0,1143.0,2101.0,521.0,1645.0,480.6537215085306,350.94184027777777
2025-08-05,12,Attiguppe,374,238,2025-08-05 12:00:00,374,1,5,32,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0,0,0,482.0,1143.0,406.0,1242.0,814.0276408083453,350.94184027777777
2025-08-05,13,Attiguppe,323,357,2025-08-05 13:00:00,323,1,5,32,0,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,0,0,0,374.0,482.0,349.0,666.3333333333334,416.32239110253755,350.94184027777777
2025-08-05,14,Attiguppe,272,362,2025-08-05 14:00:00,272,1,5,32,0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0,0,0,323.0,374.0,295.0,393.0,81.18497397918617,350.94184027777777
2025-08-05,15,Attiguppe,323,452,2025-08-05 15:00:00,323,1,5,32,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,0,0,0,272.0,323.0,322.0,323.0,51.00000000001173,350.94184027777777
2025-08-05,16,Attiguppe,275,700,2025-08-05 16:00:00,275,1,5,32,0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,0,0,323.0,272.0,293.0,306.0,29.444863728691494,350.94184027777777
2025-08-05,17,Attiguppe,335,1054,2025-08-05 17:00:00,335,1,5,32,0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,0,1,1,275.0,323.0,312.0,290.0,28.61817604252979,350.94184027777777
2025-08-05,18,Attiguppe,316,1533,2025-08-05 18:00:00,316,1,5,32,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0,1,1,335.0,275.0,338.0,311.0,31.749015732794103,350.94184027777777
2025-08-05,19,Attiguppe,319,1440,2025-08-05 19:00:00,319,1,5,32,0,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,0,1,1,316.0,335.0,258.0,308.6666666666667,30.66485501897152,350.94184027777777
2025-08-05,20,Attiguppe,200,870,2025-08-05 20:00:00,200,1,5,32,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0,1,1,319.0,316.0,245.0,323.3333333333333,10.214368964088262,350.94184027777777
2025-08-05,21,Attiguppe,156,472,2025-08-05 21:00:00,156,1,5,32,0,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,0,0,0,200.0,319.0,136.0,278.3333333333333,67.85523806851297,350.94184027777777
2025-08-05,22,Attiguppe,104,281,2025-08-05 22:00:00,104,1,5,32,0,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,0,0,0,156.0,200.0,83.0,225.0,84.32674546074506,350.94184027777777
2025-08-05,23,Attiguppe,10,108,2025-08-05 23:00:00,10,1,5,32,0,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,0,0,0,104.0,156.0,13.0,153.33333333333334,48.055523442521014,350.94184027777777
2025-08-06,0,Attiguppe,0,2,2025-08-06 00:00:00,0,2,6,32,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,0,0,0,10.0,104.0,0.0,90.0,74.00000000000954,350.94184027777777
2025-08-06,1,Attiguppe,0,0,2025-08-06 01:00:00,0,2,6,32,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,0,0,0,0.0,10.0,0.0,38.0,57.37595315113693,350.94184027777777
2025-08-06,2,Attiguppe,0,0,2025-08-06 02:00:00,0,2,6,32,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,0,0.0,0.0,0.0,3.3333333333333335,5.773502692025527,350.94184027777777
2025-08-06,3,Attiguppe,0,0,2025-08-06 03:00:00,0,2,6,32,0,0.7071067811865476,0.7071067811865476,0.9749279121818236,-0.22252093395631434,0,0,0,0.0,0.0,0.0,0.0,0.0,350.94184027777777
2025-08-06,4,Attiguppe,9,0,2025-08-06 04:00:00,9,2,6,32,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0,0,0,0.0,0.0,6.0,0.0,0.0,350.94184027777777
2025-08-06,5,Attiguppe,68,20,2025-08-06 05:00:00,68,2,6,32,0,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,0,0,0,9.0,0.0,59.0,3.0,5.196152422850295,350.94184027777777
2025-08-06,6,Attiguppe,212,52,2025-08-06 06:00:00,212,2,6,32,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0,0,0,68.0,9.0,213.0,25.666666666666668,36.936883102595495,350.94184027777777
2025-08-06,7,Attiguppe,747,94,2025-08-06 07:00:00,747,2,6,32,0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,1,0,1,212.0,68.0,798.0,96.33333333333333,104.42381592977121,350.94184027777777
2025-08-06,8,Attiguppe,1763,288,2025-08-06 08:00:00,1763,2,6,32,0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,1,0,1,747.0,212.0,1691.0,342.3333333333333,357.77134224716,350.94184027777777
2025-08-06,9,Attiguppe,2021,272,2025-08-06 09:00:00,2021,2,6,32,0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,1,0,1,1763.0,747.0,2101.0,907.3333333333334,787.8326810518423,350.94184027777777
2025-08-06,10,Attiguppe,1229,254,2025-08-06 10:00:00,1229,2,6,32,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,1,0,1,2021.0,1763.0,1143.0,1510.3333333333333,673.534953312249,350.94184027777777
2025-08-06,11,Attiguppe,518,201,2025-08-06 11:00:00,518,2,6,32,0,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,0,0,0,1229.0,2021.0,482.0,1671.0,403.9356384376103,350.94184027777777
2025-08-06,12,Attiguppe,389,234,2025-08-06 12:00:00,389,2,6,32,0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0,0,0,518.0,1229.0,374.0,1256.0,751.8636844535052,350.94184027777777
