Date;Hour;Station;Ridership
2025-08-01;0;Attiguppe;0
2025-08-01;1;Attiguppe;0
2025-08-01;2;Attiguppe;0
2025-08-01;3;Attiguppe;0
2025-08-01;4;Attiguppe;0
2025-08-01;5;Attiguppe;27
2025-08-01;6;Attiguppe;67
2025-08-01;7;Attiguppe;106
2025-08-01;8;Attiguppe;231
2025-08-01;9;Attiguppe;227
2025-08-01;10;Attiguppe;225
2025-08-01;11;Attiguppe;264
2025-08-01;12;Attiguppe;251
2025-08-01;13;Attiguppe;299
2025-08-01;14;Attiguppe;386
2025-08-01;15;Attiguppe;402
2025-08-01;16;Attiguppe;605
2025-08-01;17;Attiguppe;860
2025-08-01;18;Attiguppe;1301
2025-08-01;19;Attiguppe;1268
2025-08-01;20;Attiguppe;734
2025-08-01;21;Attiguppe;511
2025-08-01;22;Attiguppe;302
2025-08-01;23;Attiguppe;160
2025-08-01;0;BTM Layout;0
2025-08-01;1;BTM Layout;0
2025-08-01;2;BTM Layout;0
2025-08-01;3;BTM Layout;0
2025-08-01;4;BTM Layout;0
2025-08-01;5;BTM Layout;0
2025-08-01;6;BTM Layout;0
2025-08-01;7;BTM Layout;0
2025-08-01;8;BTM Layout;0
2025-08-01;9;BTM Layout;0
2025-08-01;10;BTM Layout;0
2025-08-01;11;BTM Layout;0
2025-08-01;12;BTM Layout;0
2025-08-01;13;BTM Layout;0
2025-08-01;14;BTM Layout;0
2025-08-01;15;BTM Layout;0
2025-08-01;16;BTM Layout;0
2025-08-01;17;BTM Layout;0
2025-08-01;18;BTM Layout;0
2025-08-01;19;BTM Layout;0
2025-08-01;20;BTM Layout;0
2025-08-01;21;BTM Layout;0
2025-08-01;22;BTM Layout;0
2025-08-01;23;BTM Layout;0
2025-08-01;0;Baiyappanahalli;0
2025-08-01;1;Baiyappanahalli;0
2025-08-01;2;Baiyappanahalli;0
2025-08-01;3;Baiyappanahalli;0
2025-08-01;4;Baiyappanahalli;0
2025-08-01;5;Baiyappanahalli;17
2025-08-01;6;Baiyappanahalli;128
2025-08-01;7;Baiyappanahalli;263
2025-08-01;8;Baiyappanahalli;610
2025-08-01;9;Baiyappanahalli;863
2025-08-01;10;Baiyappanahalli;576
2025-08-01;11;Baiyappanahalli;383
2025-08-01;12;Baiyappanahalli;360
2025-08-01;13;Baiyappanahalli;398
2025-08-01;14;Baiyappanahalli;512
2025-08-01;15;Baiyappanahalli;528
2025-08-01;16;Baiyappanahalli;843
2025-08-01;17;Baiyappanahalli;1307
2025-08-01;18;Baiyappanahalli;2064
2025-08-01;19;Baiyappanahalli;1591
2025-08-01;20;Baiyappanahalli;1074
2025-08-01;21;Baiyappanahalli;641
2025-08-01;22;Baiyappanahalli;437
2025-08-01;23;Baiyappanahalli;162
2025-08-01;0;Banashankari;0
2025-08-01;1;Banashankari;0
2025-08-01;2;Banashankari;0
2025-08-01;3;Banashankari;0
2025-08-01;4;Banashankari;0
2025-08-01;5;Banashankari;87
2025-08-01;6;Banashankari;153
2025-08-01;7;Banashankari;573
2025-08-01;8;Banashankari;1274
2025-08-01;9;Banashankari;1382
2025-08-01;10;Banashankari;1095
2025-08-01;11;Banashankari;874
2025-08-01;12;Banashankari;588
2025-08-01;13;Banashankari;554
2025-08-01;14;Banashankari;520
2025-08-01;15;Banashankari;600
2025-08-01;16;Banashankari;811
2025-08-01;17;Banashankari;990
2025-08-01;18;Banashankari;1299
2025-08-01;19;Banashankari;1485
2025-08-01;20;Banashankari;876
2025-08-01;21;Banashankari;553
2025-08-01;22;Banashankari;343
2025-08-01;23;Banashankari;131
2025-08-01;0;Benniganahalli;0
2025-08-01;1;Benniganahalli;0
2025-08-01;2;Benniganahalli;0
2025-08-01;3;Benniganahalli;0
2025-08-01;4;Benniganahalli;0
2025-08-01;5;Benniganahalli;54
2025-08-01;6;Benniganahalli;277
2025-08-01;7;Benniganahalli;587
2025-08-01;8;Benniganahalli;1185
2025-08-01;9;Benniganahalli;1514
2025-08-01;10;Benniganahalli;1106
2025-08-01;11;Benniganahalli;892
2025-08-01;12;Benniganahalli;834
2025-08-01;13;Benniganahalli;853
2025-08-01;14;Benniganahalli;968
2025-08-01;15;Benniganahalli;1224
2025-08-01;16;Benniganahalli;1596
2025-08-01;17;Benniganahalli;2256
2025-08-01;18;Benniganahalli;3000
2025-08-01;19;Benniganahalli;3012
2025-08-01;20;Benniganahalli;1812
2025-08-01;21;Benniganahalli;1291
2025-08-01;22;Benniganahalli;825
2025-08-01;23;Benniganahalli;242
2025-08-01;0;Beratena Agrahara;0
2025-08-01;1;Beratena Agrahara;0
2025-08-01;2;Beratena Agrahara;0
2025-08-01;3;Beratena Agrahara;0
2025-08-01;4;Beratena Agrahara;0
2025-08-01;5;Beratena Agrahara;0
2025-08-01;6;Beratena Agrahara;0
2025-08-01;7;Beratena Agrahara;0
2025-08-01;8;Beratena Agrahara;0
2025-08-01;9;Beratena Agrahara;0
2025-08-01;10;Beratena Agrahara;0
2025-08-01;11;Beratena Agrahara;0
2025-08-01;12;Beratena Agrahara;0
2025-08-01;13;Beratena Agrahara;0
2025-08-01;14;Beratena Agrahara;0
2025-08-01;15;Beratena Agrahara;0
2025-08-01;16;Beratena Agrahara;0
2025-08-01;17;Beratena Agrahara;0
2025-08-01;18;Beratena Agrahara;0
2025-08-01;19;Beratena Agrahara;0
2025-08-01;20;Beratena Agrahara;0
2025-08-01;21;Beratena Agrahara;0
2025-08-01;22;Beratena Agrahara;0
2025-08-01;23;Beratena Agrahara;0
2025-08-01;0;Biocon Hebbagodi;0
2025-08-01;1;Biocon Hebbagodi;0
2025-08-01;2;Biocon Hebbagodi;0
2025-08-01;3;Biocon Hebbagodi;0
2025-08-01;4;Biocon Hebbagodi;0
2025-08-01;5;Biocon Hebbagodi;0
2025-08-01;6;Biocon Hebbagodi;0
2025-08-01;7;Biocon Hebbagodi;0
2025-08-01;8;Biocon Hebbagodi;0
2025-08-01;9;Biocon Hebbagodi;0
2025-08-01;10;Biocon Hebbagodi;0
2025-08-01;11;Biocon Hebbagodi;0
2025-08-01;12;Biocon Hebbagodi;0
2025-08-01;13;Biocon Hebbagodi;0
2025-08-01;14;Biocon Hebbagodi;0
2025-08-01;15;Biocon Hebbagodi;0
2025-08-01;16;Biocon Hebbagodi;0
2025-08-01;17;Biocon Hebbagodi;0
2025-08-01;18;Biocon Hebbagodi;0
2025-08-01;19;Biocon Hebbagodi;0
2025-08-01;20;Biocon Hebbagodi;0
2025-08-01;21;Biocon Hebbagodi;0
2025-08-01;22;Biocon Hebbagodi;0
2025-08-01;23;Biocon Hebbagodi;0
2025-08-01;0;Bommanahalli;0
2025-08-01;1;Bommanahalli;0
2025-08-01;2;Bommanahalli;0
2025-08-01;3;Bommanahalli;0
2025-08-01;4;Bommanahalli;0
2025-08-01;5;Bommanahalli;0
2025-08-01;6;Bommanahalli;0
2025-08-01;7;Bommanahalli;0
2025-08-01;8;Bommanahalli;0
2025-08-01;9;Bommanahalli;0
2025-08-01;10;Bommanahalli;0
2025-08-01;11;Bommanahalli;0
2025-08-01;12;Bommanahalli;0
2025-08-01;13;Bommanahalli;0
2025-08-01;14;Bommanahalli;0
2025-08-01;15;Bommanahalli;0
2025-08-01;16;Bommanahalli;0
2025-08-01;17;Bommanahalli;0
2025-08-01;18;Bommanahalli;0
2025-08-01;19;Bommanahalli;0
2025-08-01;20;Bommanahalli;0
2025-08-01;21;Bommanahalli;0
2025-08-01;22;Bommanahalli;0
2025-08-01;23;Bommanahalli;0
2025-08-01;0;Central Silk Board;0
2025-08-01;1;Central Silk Board;0
2025-08-01;2;Central Silk Board;0
2025-08-01;3;Central Silk Board;0
2025-08-01;4;Central Silk Board;0
2025-08-01;5;Central Silk Board;0
2025-08-01;6;Central Silk Board;0
2025-08-01;7;Central Silk Board;0
2025-08-01;8;Central Silk Board;0
2025-08-01;9;Central Silk Board;0
2025-08-01;10;Central Silk Board;0
2025-08-01;11;Central Silk Board;0
2025-08-01;12;Central Silk Board;0
2025-08-01;13;Central Silk Board;0
2025-08-01;14;Central Silk Board;0
2025-08-01;15;Central Silk Board;0
2025-08-01;16;Central Silk Board;0
2025-08-01;17;Central Silk Board;0
2025-08-01;18;Central Silk Board;0
2025-08-01;19;Central Silk Board;0
2025-08-01;20;Central Silk Board;0
2025-08-01;21;Central Silk Board;0
2025-08-01;22;Central Silk Board;0
2025-08-01;23;Central Silk Board;0
2025-08-01;0;Challaghatta;0
2025-08-01;1;Challaghatta;0
2025-08-01;2;Challaghatta;0
2025-08-01;3;Challaghatta;0
2025-08-01;4;Challaghatta;0
2025-08-01;5;Challaghatta;9
2025-08-01;6;Challaghatta;64
2025-08-01;7;Challaghatta;219
2025-08-01;8;Challaghatta;731
2025-08-01;9;Challaghatta;433
2025-08-01;10;Challaghatta;347
2025-08-01;11;Challaghatta;267
2025-08-01;12;Challaghatta;198
2025-08-01;13;Challaghatta;171
2025-08-01;14;Challaghatta;184
2025-08-01;15;Challaghatta;204
2025-08-01;16;Challaghatta;194
2025-08-01;17;Challaghatta;301
2025-08-01;18;Challaghatta;428
2025-08-01;19;Challaghatta;443
2025-08-01;20;Challaghatta;340
2025-08-01;21;Challaghatta;246
2025-08-01;22;Challaghatta;192
2025-08-01;23;Challaghatta;59
2025-08-01;0;Chickpete;0
2025-08-01;1;Chickpete;0
2025-08-01;2;Chickpete;0
2025-08-01;3;Chickpete;0
2025-08-01;4;Chickpete;0
2025-08-01;5;Chickpete;35
2025-08-01;6;Chickpete;94
2025-08-01;7;Chickpete;143
2025-08-01;8;Chickpete;299
2025-08-01;9;Chickpete;693
2025-08-01;10;Chickpete;1428
2025-08-01;11;Chickpete;1881
2025-08-01;12;Chickpete;1865
2025-08-01;13;Chickpete;1449
2025-08-01;14;Chickpete;1379
2025-08-01;15;Chickpete;1151
2025-08-01;16;Chickpete;1083
2025-08-01;17;Chickpete;877
2025-08-01;18;Chickpete;767
2025-08-01;19;Chickpete;547
2025-08-01;20;Chickpete;253
2025-08-01;21;Chickpete;154
2025-08-01;22;Chickpete;97
2025-08-01;23;Chickpete;28
2025-08-01;0;Chikkabidarakallu;0
2025-08-01;1;Chikkabidarakallu;0
2025-08-01;2;Chikkabidarakallu;0
2025-08-01;3;Chikkabidarakallu;0
2025-08-01;4;Chikkabidarakallu;0
2025-08-01;5;Chikkabidarakallu;6
2025-08-01;6;Chikkabidarakallu;24
2025-08-01;7;Chikkabidarakallu;52
2025-08-01;8;Chikkabidarakallu;114
2025-08-01;9;Chikkabidarakallu;99
2025-08-01;10;Chikkabidarakallu;57
2025-08-01;11;Chikkabidarakallu;90
2025-08-01;12;Chikkabidarakallu;75
2025-08-01;13;Chikkabidarakallu;133
2025-08-01;14;Chikkabidarakallu;168
2025-08-01;15;Chikkabidarakallu;181
2025-08-01;16;Chikkabidarakallu;291
2025-08-01;17;Chikkabidarakallu;328
2025-08-01;18;Chikkabidarakallu;531
2025-08-01;19;Chikkabidarakallu;625
2025-08-01;20;Chikkabidarakallu;498
2025-08-01;21;Chikkabidarakallu;289
2025-08-01;22;Chikkabidarakallu;200
2025-08-01;23;Chikkabidarakallu;122
2025-08-01;0;Cubbon Park;0
2025-08-01;1;Cubbon Park;0
2025-08-01;2;Cubbon Park;0
2025-08-01;3;Cubbon Park;0
2025-08-01;4;Cubbon Park;0
2025-08-01;5;Cubbon Park;31
2025-08-01;6;Cubbon Park;181
2025-08-01;7;Cubbon Park;544
2025-08-01;8;Cubbon Park;1294
2025-08-01;9;Cubbon Park;3215
2025-08-01;10;Cubbon Park;2675
2025-08-01;11;Cubbon Park;1083
2025-08-01;12;Cubbon Park;687
2025-08-01;13;Cubbon Park;517
2025-08-01;14;Cubbon Park;492
2025-08-01;15;Cubbon Park;489
2025-08-01;16;Cubbon Park;454
2025-08-01;17;Cubbon Park;481
2025-08-01;18;Cubbon Park;495
2025-08-01;19;Cubbon Park;527
2025-08-01;20;Cubbon Park;390
2025-08-01;21;Cubbon Park;198
2025-08-01;22;Cubbon Park;113
2025-08-01;23;Cubbon Park;62
2025-08-01;0;Dasarahalli;0
2025-08-01;1;Dasarahalli;0
2025-08-01;2;Dasarahalli;0
2025-08-01;3;Dasarahalli;0
2025-08-01;4;Dasarahalli;0
2025-08-01;5;Dasarahalli;40
2025-08-01;6;Dasarahalli;55
2025-08-01;7;Dasarahalli;172
2025-08-01;8;Dasarahalli;456
2025-08-01;9;Dasarahalli;373
2025-08-01;10;Dasarahalli;284
2025-08-01;11;Dasarahalli;233
2025-08-01;12;Dasarahalli;343
2025-08-01;13;Dasarahalli;448
2025-08-01;14;Dasarahalli;433
2025-08-01;15;Dasarahalli;476
2025-08-01;16;Dasarahalli;559
2025-08-01;17;Dasarahalli;889
2025-08-01;18;Dasarahalli;1456
2025-08-01;19;Dasarahalli;1492
2025-08-01;20;Dasarahalli;1381
2025-08-01;21;Dasarahalli;672
2025-08-01;22;Dasarahalli;375
2025-08-01;23;Dasarahalli;194
2025-08-01;0;Deepanjali Nagar;0
2025-08-01;1;Deepanjali Nagar;0
2025-08-01;2;Deepanjali Nagar;0
2025-08-01;3;Deepanjali Nagar;0
2025-08-01;4;Deepanjali Nagar;0
2025-08-01;5;Deepanjali Nagar;18
2025-08-01;6;Deepanjali Nagar;77
2025-08-01;7;Deepanjali Nagar;153
2025-08-01;8;Deepanjali Nagar;140
2025-08-01;9;Deepanjali Nagar;182
2025-08-01;10;Deepanjali Nagar;129
2025-08-01;11;Deepanjali Nagar;138
2025-08-01;12;Deepanjali Nagar;160
2025-08-01;13;Deepanjali Nagar;209
2025-08-01;14;Deepanjali Nagar;235
2025-08-01;15;Deepanjali Nagar;249
2025-08-01;16;Deepanjali Nagar;360
2025-08-01;17;Deepanjali Nagar;613
2025-08-01;18;Deepanjali Nagar;781
2025-08-01;19;Deepanjali Nagar;928
2025-08-01;20;Deepanjali Nagar;610
2025-08-01;21;Deepanjali Nagar;528
2025-08-01;22;Deepanjali Nagar;358
2025-08-01;23;Deepanjali Nagar;162
2025-08-01;0;Delta Electronics Bommasandra;0
2025-08-01;1;Delta Electronics Bommasandra;0
2025-08-01;2;Delta Electronics Bommasandra;0
2025-08-01;3;Delta Electronics Bommasandra;0
2025-08-01;4;Delta Electronics Bommasandra;0
2025-08-01;5;Delta Electronics Bommasandra;0
2025-08-01;6;Delta Electronics Bommasandra;0
2025-08-01;7;Delta Electronics Bommasandra;0
2025-08-01;8;Delta Electronics Bommasandra;0
2025-08-01;9;Delta Electronics Bommasandra;0
2025-08-01;10;Delta Electronics Bommasandra;0
2025-08-01;11;Delta Electronics Bommasandra;0
2025-08-01;12;Delta Electronics Bommasandra;0
2025-08-01;13;Delta Electronics Bommasandra;0
2025-08-01;14;Delta Electronics Bommasandra;0
2025-08-01;15;Delta Electronics Bommasandra;0
2025-08-01;16;Delta Electronics Bommasandra;0
2025-08-01;17;Delta Electronics Bommasandra;0
2025-08-01;18;Delta Electronics Bommasandra;0
2025-08-01;19;Delta Electronics Bommasandra;0
2025-08-01;20;Delta Electronics Bommasandra;0
2025-08-01;21;Delta Electronics Bommasandra;0
2025-08-01;22;Delta Electronics Bommasandra;0
2025-08-01;23;Delta Electronics Bommasandra;0
2025-08-01;0;Doddakallasandra;0
2025-08-01;1;Doddakallasandra;0
2025-08-01;2;Doddakallasandra;0
2025-08-01;3;Doddakallasandra;0
2025-08-01;4;Doddakallasandra;0
2025-08-01;5;Doddakallasandra;5
2025-08-01;6;Doddakallasandra;45
2025-08-01;7;Doddakallasandra;31
2025-08-01;8;Doddakallasandra;154
2025-08-01;9;Doddakallasandra;279
2025-08-01;10;Doddakallasandra;226
2025-08-01;11;Doddakallasandra;144
2025-08-01;12;Doddakallasandra;149
2025-08-01;13;Doddakallasandra;220
2025-08-01;14;Doddakallasandra;200
2025-08-01;15;Doddakallasandra;243
2025-08-01;16;Doddakallasandra;401
2025-08-01;17;Doddakallasandra;517
2025-08-01;18;Doddakallasandra;636
2025-08-01;19;Doddakallasandra;692
2025-08-01;20;Doddakallasandra;449
2025-08-01;21;Doddakallasandra;284
2025-08-01;22;Doddakallasandra;143
2025-08-01;23;Doddakallasandra;85
2025-08-01;0;Dr. B. R. Ambedkar Station, Vidhana Soudha;0
2025-08-01;1;Dr. B. R. Ambedkar Station, Vidhana Soudha;0
2025-08-01;2;Dr. B. R. Ambedkar Station, Vidhana Soudha;0
2025-08-01;3;Dr. B. R. Ambedkar Station, Vidhana Soudha;0
2025-08-01;4;Dr. B. R. Ambedkar Station, Vidhana Soudha;0
2025-08-01;5;Dr. B. R. Ambedkar Station, Vidhana Soudha;22
2025-08-01;6;Dr. B. R. Ambedkar Station, Vidhana Soudha;120
2025-08-01;7;Dr. B. R. Ambedkar Station, Vidhana Soudha;306
2025-08-01;8;Dr. B. R. Ambedkar Station, Vidhana Soudha;1015
2025-08-01;9;Dr. B. R. Ambedkar Station, Vidhana Soudha;2333
2025-08-01;10;Dr. B. R. Ambedkar Station, Vidhana Soudha;3478
2025-08-01;11;Dr. B. R. Ambedkar Station, Vidhana Soudha;1156
2025-08-01;12;Dr. B. R. Ambedkar Station, Vidhana Soudha;704
2025-08-01;13;Dr. B. R. Ambedkar Station, Vidhana Soudha;648
2025-08-01;14;Dr. B. R. Ambedkar Station, Vidhana Soudha;550
2025-08-01;15;Dr. B. R. Ambedkar Station, Vidhana Soudha;466
2025-08-01;16;Dr. B. R. Ambedkar Station, Vidhana Soudha;429
2025-08-01;17;Dr. B. R. Ambedkar Station, Vidhana Soudha;356
2025-08-01;18;Dr. B. R. Ambedkar Station, Vidhana Soudha;330
2025-08-01;19;Dr. B. R. Ambedkar Station, Vidhana Soudha;266
2025-08-01;20;Dr. B. R. Ambedkar Station, Vidhana Soudha;191
2025-08-01;21;Dr. B. R. Ambedkar Station, Vidhana Soudha;90
2025-08-01;22;Dr. B. R. Ambedkar Station, Vidhana Soudha;32
2025-08-01;23;Dr. B. R. Ambedkar Station, Vidhana Soudha;10
2025-08-01;0;Electronic City;0
2025-08-01;1;Electronic City;0
2025-08-01;2;Electronic City;0
2025-08-01;3;Electronic City;0
2025-08-01;4;Electronic City;0
2025-08-01;5;Electronic City;0
2025-08-01;6;Electronic City;0
2025-08-01;7;Electronic City;0
2025-08-01;8;Electronic City;0
2025-08-01;9;Electronic City;0
2025-08-01;10;Electronic City;0
2025-08-01;11;Electronic City;0
2025-08-01;12;Electronic City;0
2025-08-01;13;Electronic City;0
2025-08-01;14;Electronic City;0
2025-08-01;15;Electronic City;0
2025-08-01;16;Electronic City;0
2025-08-01;17;Electronic City;0
2025-08-01;18;Electronic City;0
2025-08-01;19;Electronic City;0
2025-08-01;20;Electronic City;0
2025-08-01;21;Electronic City;0
2025-08-01;22;Electronic City;0
2025-08-01;23;Electronic City;0
2025-08-01;0;Garudacharpalya;0
2025-08-01;1;Garudacharpalya;0
2025-08-01;2;Garudacharpalya;0
2025-08-01;3;Garudacharpalya;0
2025-08-01;4;Garudacharpalya;0
2025-08-01;5;Garudacharpalya;20
2025-08-01;6;Garudacharpalya;88
2025-08-01;7;Garudacharpalya;187
2025-08-01;8;Garudacharpalya;721
2025-08-01;9;Garudacharpalya;1638
2025-08-01;10;Garudacharpalya;1106
2025-08-01;11;Garudacharpalya;558
2025-08-01;12;Garudacharpalya;289
2025-08-01;13;Garudacharpalya;335
2025-08-01;14;Garudacharpalya;278
2025-08-01;15;Garudacharpalya;314
2025-08-01;16;Garudacharpalya;390
2025-08-01;17;Garudacharpalya;454
2025-08-01;18;Garudacharpalya;597
2025-08-01;19;Garudacharpalya;565
2025-08-01;20;Garudacharpalya;417
2025-08-01;21;Garudacharpalya;360
2025-08-01;22;Garudacharpalya;147
2025-08-01;23;Garudacharpalya;92
2025-08-01;0;Goraguntepalya;0
2025-08-01;1;Goraguntepalya;0
2025-08-01;2;Goraguntepalya;0
2025-08-01;3;Goraguntepalya;0
2025-08-01;4;Goraguntepalya;0
2025-08-01;5;Goraguntepalya;23
2025-08-01;6;Goraguntepalya;65
2025-08-01;7;Goraguntepalya;219
2025-08-01;8;Goraguntepalya;697
2025-08-01;9;Goraguntepalya;934
