Date;Hour;Station;Ridership
2025-08-01;0;Attiguppe;0
2025-08-01;1;Attiguppe;0
2025-08-01;2;Attiguppe;0
2025-08-01;3;Attiguppe;0
2025-08-01;4;Attiguppe;6
2025-08-01;5;Attiguppe;65
2025-08-01;6;Attiguppe;219
2025-08-01;7;Attiguppe;646
2025-08-01;8;Attiguppe;1338
2025-08-01;9;Attiguppe;1818
2025-08-01;10;Attiguppe;1039
2025-08-01;11;Attiguppe;502
2025-08-01;12;Attiguppe;364
2025-08-01;13;Attiguppe;336
2025-08-01;14;Attiguppe;318
2025-08-01;15;Attiguppe;317
2025-08-01;16;Attiguppe;307
2025-08-01;17;Attiguppe;324
2025-08-01;18;Attiguppe;371
2025-08-01;19;Attiguppe;369
2025-08-01;20;Attiguppe;329
2025-08-01;21;Attiguppe;202
2025-08-01;22;Attiguppe;141
2025-08-01;23;Attiguppe;23
2025-08-01;0;Baiyappanahalli;0
2025-08-01;1;Baiyappanahalli;0
2025-08-01;2;Baiyappanahalli;0
2025-08-01;3;Baiyappanahalli;0
2025-08-01;4;Baiyappanahalli;19
2025-08-01;5;Baiyappanahalli;83
2025-08-01;6;Baiyappanahalli;215
2025-08-01;7;Baiyappanahalli;918
2025-08-01;8;Baiyappanahalli;1727
2025-08-01;9;Baiyappanahalli;2718
2025-08-01;10;Baiyappanahalli;1415
2025-08-01;11;Baiyappanahalli;663
2025-08-01;12;Baiyappanahalli;563
2025-08-01;13;Baiyappanahalli;428
2025-08-01;14;Baiyappanahalli;378
2025-08-01;15;Baiyappanahalli;456
2025-08-01;16;Baiyappanahalli;497
2025-08-01;17;Baiyappanahalli;880
2025-08-01;18;Baiyappanahalli;942
2025-08-01;19;Baiyappanahalli;923
2025-08-01;20;Baiyappanahalli;489
2025-08-01;21;Baiyappanahalli;373
2025-08-01;22;Baiyappanahalli;134
2025-08-01;23;Baiyappanahalli;15
2025-08-01;0;Banashankari;0
2025-08-01;1;Banashankari;0
2025-08-01;2;Banashankari;0
2025-08-01;3;Banashankari;0
2025-08-01;4;Banashankari;0
2025-08-01;5;Banashankari;56
2025-08-01;6;Banashankari;174
2025-08-01;7;Banashankari;493
2025-08-01;8;Banashankari;1195
2025-08-01;9;Banashankari;1341
2025-08-01;10;Banashankari;996
2025-08-01;11;Banashankari;741
2025-08-01;12;Banashankari;866
2025-08-01;13;Banashankari;930
2025-08-01;14;Banashankari;749
2025-08-01;15;Banashankari;634
2025-08-01;16;Banashankari;891
2025-08-01;17;Banashankari;1216
2025-08-01;18;Banashankari;1393
2025-08-01;19;Banashankari;1444
2025-08-01;20;Banashankari;1039
2025-08-01;21;Banashankari;661
2025-08-01;22;Banashankari;330
2025-08-01;23;Banashankari;35
2025-08-01;0;Benniganahalli;1
2025-08-01;1;Benniganahalli;0
2025-08-01;2;Benniganahalli;0
2025-08-01;3;Benniganahalli;0
2025-08-01;4;Benniganahalli;34
2025-08-01;5;Benniganahalli;182
2025-08-01;6;Benniganahalli;427
2025-08-01;7;Benniganahalli;1239
2025-08-01;8;Benniganahalli;3095
2025-08-01;9;Benniganahalli;3674
2025-08-01;10;Benniganahalli;2723
2025-08-01;11;Benniganahalli;1529
2025-08-01;12;Benniganahalli;1173
2025-08-01;13;Benniganahalli;983
2025-08-01;14;Benniganahalli;1016
2025-08-01;15;Benniganahalli;944
2025-08-01;16;Benniganahalli;1281
2025-08-01;17;Benniganahalli;1636
2025-08-01;18;Benniganahalli;1819
2025-08-01;19;Benniganahalli;1901
2025-08-01;20;Benniganahalli;1306
2025-08-01;21;Benniganahalli;786
2025-08-01;22;Benniganahalli;440
2025-08-01;23;Benniganahalli;54
2025-08-01;0;Challaghatta;0
2025-08-01;1;Challaghatta;0
2025-08-01;2;Challaghatta;0
2025-08-01;3;Challaghatta;0
2025-08-01;4;Challaghatta;5
2025-08-01;5;Challaghatta;17
2025-08-01;6;Challaghatta;112
2025-08-01;7;Challaghatta;231
2025-08-01;8;Challaghatta;572
2025-08-01;9;Challaghatta;555
2025-08-01;10;Challaghatta;340
2025-08-01;11;Challaghatta;388
2025-08-01;12;Challaghatta;231
2025-08-01;13;Challaghatta;343
2025-08-01;14;Challaghatta;297
2025-08-01;15;Challaghatta;451
2025-08-01;16;Challaghatta;582
2025-08-01;17;Challaghatta;565
2025-08-01;18;Challaghatta;605
2025-08-01;19;Challaghatta;494
2025-08-01;20;Challaghatta;191
2025-08-01;21;Challaghatta;119
2025-08-01;22;Challaghatta;45
2025-08-01;23;Challaghatta;3
2025-08-01;0;Chickpete;0
2025-08-01;1;Chickpete;0
2025-08-01;2;Chickpete;0
2025-08-01;3;Chickpete;0
2025-08-01;4;Chickpete;0
2025-08-01;5;Chickpete;11
2025-08-01;6;Chickpete;52
2025-08-01;7;Chickpete;203
2025-08-01;8;Chickpete;278
2025-08-01;9;Chickpete;354
2025-08-01;10;Chickpete;233
2025-08-01;11;Chickpete;324
2025-08-01;12;Chickpete;476
2025-08-01;13;Chickpete;760
2025-08-01;14;Chickpete;1122
2025-08-01;15;Chickpete;1215
2025-08-01;16;Chickpete;1275
2025-08-01;17;Chickpete;1393
2025-08-01;18;Chickpete;1442
2025-08-01;19;Chickpete;1517
2025-08-01;20;Chickpete;1450
2025-08-01;21;Chickpete;740
2025-08-01;22;Chickpete;146
2025-08-01;23;Chickpete;14
2025-08-01;0;Chikkabidarakallu;0
2025-08-01;1;Chikkabidarakallu;0
2025-08-01;2;Chikkabidarakallu;0
2025-08-01;3;Chikkabidarakallu;0
2025-08-01;4;Chikkabidarakallu;3
2025-08-01;5;Chikkabidarakallu;29
2025-08-01;6;Chikkabidarakallu;83
2025-08-01;7;Chikkabidarakallu;364
2025-08-01;8;Chikkabidarakallu;699
2025-08-01;9;Chikkabidarakallu;759
2025-08-01;10;Chikkabidarakallu;412
2025-08-01;11;Chikkabidarakallu;245
2025-08-01;12;Chikkabidarakallu;202
2025-08-01;13;Chikkabidarakallu;152
2025-08-01;14;Chikkabidarakallu;132
2025-08-01;15;Chikkabidarakallu;160
2025-08-01;16;Chikkabidarakallu;171
2025-08-01;17;Chikkabidarakallu;144
2025-08-01;18;Chikkabidarakallu;224
2025-08-01;19;Chikkabidarakallu;302
2025-08-01;20;Chikkabidarakallu;130
2025-08-01;21;Chikkabidarakallu;77
2025-08-01;22;Chikkabidarakallu;47
2025-08-01;23;Chikkabidarakallu;1
2025-08-01;0;Cubbon Park;0
2025-08-01;1;Cubbon Park;0
2025-08-01;2;Cubbon Park;0
2025-08-01;3;Cubbon Park;0
2025-08-01;4;Cubbon Park;0
2025-08-01;5;Cubbon Park;10
2025-08-01;6;Cubbon Park;77
2025-08-01;7;Cubbon Park;200
2025-08-01;8;Cubbon Park;379
2025-08-01;9;Cubbon Park;470
2025-08-01;10;Cubbon Park;345
2025-08-01;11;Cubbon Park;377
2025-08-01;12;Cubbon Park;496
2025-08-01;13;Cubbon Park;576
2025-08-01;14;Cubbon Park;679
2025-08-01;15;Cubbon Park;802
2025-08-01;16;Cubbon Park;1113
2025-08-01;17;Cubbon Park;2143
2025-08-01;18;Cubbon Park;2963
2025-08-01;19;Cubbon Park;1932
2025-08-01;20;Cubbon Park;889
2025-08-01;21;Cubbon Park;451
2025-08-01;22;Cubbon Park;277
2025-08-01;23;Cubbon Park;50
2025-08-01;0;Dasarahalli;0
2025-08-01;1;Dasarahalli;0
2025-08-01;2;Dasarahalli;0
2025-08-01;3;Dasarahalli;0
2025-08-01;4;Dasarahalli;0
2025-08-01;5;Dasarahalli;98
2025-08-01;6;Dasarahalli;245
2025-08-01;7;Dasarahalli;808
2025-08-01;8;Dasarahalli;1615
2025-08-01;9;Dasarahalli;1774
2025-08-01;10;Dasarahalli;1116
2025-08-01;11;Dasarahalli;580
2025-08-01;12;Dasarahalli;566
2025-08-01;13;Dasarahalli;460
2025-08-01;14;Dasarahalli;485
2025-08-01;15;Dasarahalli;387
2025-08-01;16;Dasarahalli;496
2025-08-01;17;Dasarahalli;478
2025-08-01;18;Dasarahalli;606
2025-08-01;19;Dasarahalli;592
2025-08-01;20;Dasarahalli;405
2025-08-01;21;Dasarahalli;253
2025-08-01;22;Dasarahalli;123
2025-08-01;23;Dasarahalli;8
2025-08-01;0;Deepanjali Nagar;0
2025-08-01;1;Deepanjali Nagar;0
2025-08-01;2;Deepanjali Nagar;0
2025-08-01;3;Deepanjali Nagar;0
2025-08-01;4;Deepanjali Nagar;8
2025-08-01;5;Deepanjali Nagar;56
2025-08-01;6;Deepanjali Nagar;121
2025-08-01;7;Deepanjali Nagar;292
2025-08-01;8;Deepanjali Nagar;594
2025-08-01;9;Deepanjali Nagar;676
2025-08-01;10;Deepanjali Nagar;468
2025-08-01;11;Deepanjali Nagar;204
2025-08-01;12;Deepanjali Nagar;188
2025-08-01;13;Deepanjali Nagar;164
2025-08-01;14;Deepanjali Nagar;132
2025-08-01;15;Deepanjali Nagar;124
2025-08-01;16;Deepanjali Nagar;159
2025-08-01;17;Deepanjali Nagar;195
2025-08-01;18;Deepanjali Nagar;190
2025-08-01;19;Deepanjali Nagar;246
2025-08-01;20;Deepanjali Nagar;165
2025-08-01;21;Deepanjali Nagar;157
2025-08-01;22;Deepanjali Nagar;70
2025-08-01;23;Deepanjali Nagar;15
2025-08-01;0;Doddakallasandra;0
2025-08-01;1;Doddakallasandra;0
2025-08-01;2;Doddakallasandra;0
2025-08-01;3;Doddakallasandra;0
2025-08-01;4;Doddakallasandra;3
2025-08-01;5;Doddakallasandra;20
2025-08-01;6;Doddakallasandra;90
2025-08-01;7;Doddakallasandra;437
2025-08-01;8;Doddakallasandra;753
2025-08-01;9;Doddakallasandra;832
2025-08-01;10;Doddakallasandra;437
2025-08-01;11;Doddakallasandra;265
2025-08-01;12;Doddakallasandra;221
2025-08-01;13;Doddakallasandra;197
2025-08-01;14;Doddakallasandra;195
2025-08-01;15;Doddakallasandra;243
2025-08-01;16;Doddakallasandra;195
2025-08-01;17;Doddakallasandra;221
2025-08-01;18;Doddakallasandra;338
2025-08-01;19;Doddakallasandra;312
2025-08-01;20;Doddakallasandra;205
2025-08-01;21;Doddakallasandra;120
2025-08-01;22;Doddakallasandra;52
2025-08-01;23;Doddakallasandra;1
2025-08-01;0;Dr. B. R. Ambedkar Station, Vidhana Soudha;0
2025-08-01;1;Dr. B. R. Ambedkar Station, Vidhana Soudha;0
2025-08-01;2;Dr. B. R. Ambedkar Station, Vidhana Soudha;0
2025-08-01;3;Dr. B. R. Ambedkar Station, Vidhana Soudha;0
2025-08-01;4;Dr. B. R. Ambedkar Station, Vidhana Soudha;0
2025-08-01;5;Dr. B. R. Ambedkar Station, Vidhana Soudha;8
2025-08-01;6;Dr. B. R. Ambedkar Station, Vidhana Soudha;46
2025-08-01;7;Dr. B. R. Ambedkar Station, Vidhana Soudha;112
2025-08-01;8;Dr. B. R. Ambedkar Station, Vidhana Soudha;223
2025-08-01;9;Dr. B. R. Ambedkar Station, Vidhana Soudha;234
2025-08-01;10;Dr. B. R. Ambedkar Station, Vidhana Soudha;378
2025-08-01;11;Dr. B. R. Ambedkar Station, Vidhana Soudha;414
2025-08-01;12;Dr. B. R. Ambedkar Station, Vidhana Soudha;506
2025-08-01;13;Dr. B. R. Ambedkar Station, Vidhana Soudha;683
2025-08-01;14;Dr. B. R. Ambedkar Station, Vidhana Soudha;802
2025-08-01;15;Dr. B. R. Ambedkar Station, Vidhana Soudha;857
2025-08-01;16;Dr. B. R. Ambedkar Station, Vidhana Soudha;995
2025-08-01;17;Dr. B. R. Ambedkar Station, Vidhana Soudha;2869
2025-08-01;18;Dr. B. R. Ambedkar Station, Vidhana Soudha;2381
2025-08-01;19;Dr. B. R. Ambedkar Station, Vidhana Soudha;1132
2025-08-01;20;Dr. B. R. Ambedkar Station, Vidhana Soudha;531
2025-08-01;21;Dr. B. R. Ambedkar Station, Vidhana Soudha;235
2025-08-01;22;Dr. B. R. Ambedkar Station, Vidhana Soudha;69
2025-08-01;23;Dr. B. R. Ambedkar Station, Vidhana Soudha;18
2025-08-01;0;Garudacharpalya;0
2025-08-01;1;Garudacharpalya;0
2025-08-01;2;Garudacharpalya;0
2025-08-01;3;Garudacharpalya;0
2025-08-01;4;Garudacharpalya;5
2025-08-01;5;Garudacharpalya;46
2025-08-01;6;Garudacharpalya;146
2025-08-01;7;Garudacharpalya;254
2025-08-01;8;Garudacharpalya;514
2025-08-01;9;Garudacharpalya;493
2025-08-01;10;Garudacharpalya;353
2025-08-01;11;Garudacharpalya;247
2025-08-01;12;Garudacharpalya;209
2025-08-01;13;Garudacharpalya;303
2025-08-01;14;Garudacharpalya;275
2025-08-01;15;Garudacharpalya;386
2025-08-01;16;Garudacharpalya;694
2025-08-01;17;Garudacharpalya;1020
2025-08-01;18;Garudacharpalya;1262
2025-08-01;19;Garudacharpalya;893
2025-08-01;20;Garudacharpalya;555
2025-08-01;21;Garudacharpalya;388
2025-08-01;22;Garudacharpalya;269
2025-08-01;23;Garudacharpalya;25
2025-08-01;0;Goraguntepalya;0
2025-08-01;1;Goraguntepalya;0
2025-08-01;2;Goraguntepalya;0
2025-08-01;3;Goraguntepalya;0
2025-08-01;4;Goraguntepalya;3
2025-08-01;5;Goraguntepalya;48
2025-08-01;6;Goraguntepalya;128
2025-08-01;7;Goraguntepalya;319
2025-08-01;8;Goraguntepalya;593
2025-08-01;9;Goraguntepalya;694
2025-08-01;10;Goraguntepalya;493
2025-08-01;11;Goraguntepalya;320
2025-08-01;12;Goraguntepalya;293
2025-08-01;13;Goraguntepalya;301
2025-08-01;14;Goraguntepalya;243
2025-08-01;15;Goraguntepalya;314
2025-08-01;16;Goraguntepalya;397
2025-08-01;17;Goraguntepalya;530
2025-08-01;18;Goraguntepalya;958
2025-08-01;19;Goraguntepalya;765
2025-08-01;20;Goraguntepalya;501
2025-08-01;21;Goraguntepalya;235
2025-08-01;22;Goraguntepalya;134
2025-08-01;23;Goraguntepalya;21
2025-08-01;0;Halasuru;0
2025-08-01;1;Halasuru;0
2025-08-01;2;Halasuru;0
2025-08-01;3;Halasuru;0
2025-08-01;4;Halasuru;5
2025-08-01;5;Halasuru;51
2025-08-01;6;Halasuru;192
2025-08-01;7;Halasuru;570
2025-08-01;8;Halasuru;1153
2025-08-01;9;Halasuru;1554
2025-08-01;10;Halasuru;888
2025-08-01;11;Halasuru;496
2025-08-01;12;Halasuru;373
2025-08-01;13;Halasuru;373
2025-08-01;14;Halasuru;417
2025-08-01;15;Halasuru;418
2025-08-01;16;Halasuru;387
2025-08-01;17;Halasuru;566
2025-08-01;18;Halasuru;756
2025-08-01;19;Halasuru;660
2025-08-01;20;Halasuru;580
2025-08-01;21;Halasuru;317
2025-08-01;22;Halasuru;151
2025-08-01;23;Halasuru;17
2025-08-01;0;Hoodi;0
2025-08-01;1;Hoodi;0
2025-08-01;2;Hoodi;0
2025-08-01;3;Hoodi;0
2025-08-01;4;Hoodi;0
2025-08-01;5;Hoodi;54
2025-08-01;6;Hoodi;110
2025-08-01;7;Hoodi;266
2025-08-01;8;Hoodi;686
2025-08-01;9;Hoodi;802
2025-08-01;10;Hoodi;518
2025-08-01;11;Hoodi;349
2025-08-01;12;Hoodi;273
2025-08-01;13;Hoodi;264
2025-08-01;14;Hoodi;288
2025-08-01;15;Hoodi;307
2025-08-01;16;Hoodi;434
2025-08-01;17;Hoodi;565
2025-08-01;18;Hoodi;843
2025-08-01;19;Hoodi;670
2025-08-01;20;Hoodi;544
2025-08-01;21;Hoodi;403
2025-08-01;22;Hoodi;212
2025-08-01;23;Hoodi;0
2025-08-01;0;Hopefarm Channasandra;1
2025-08-01;1;Hopefarm Channasandra;0
2025-08-01;2;Hopefarm Channasandra;0
2025-08-01;3;Hopefarm Channasandra;0
2025-08-01;4;Hopefarm Channasandra;1
2025-08-01;5;Hopefarm Channasandra;15
2025-08-01;6;Hopefarm Channasandra;43
2025-08-01;7;Hopefarm Channasandra;110
2025-08-01;8;Hopefarm Channasandra;400
2025-08-01;9;Hopefarm Channasandra;554
2025-08-01;10;Hopefarm Channasandra;271
2025-08-01;11;Hopefarm Channasandra;131
2025-08-01;12;Hopefarm Channasandra;92
2025-08-01;13;Hopefarm Channasandra;81
2025-08-01;14;Hopefarm Channasandra;77
2025-08-01;15;Hopefarm Channasandra;70
2025-08-01;16;Hopefarm Channasandra;121
2025-08-01;17;Hopefarm Channasandra;155
2025-08-01;18;Hopefarm Channasandra;207
2025-08-01;19;Hopefarm Channasandra;176
2025-08-01;20;Hopefarm Channasandra;121
2025-08-01;21;Hopefarm Channasandra;69
2025-08-01;22;Hopefarm Channasandra;40
2025-08-01;23;Hopefarm Channasandra;0
2025-08-01;0;Indiranagar;0
2025-08-01;1;Indiranagar;0
2025-08-01;2;Indiranagar;0
2025-08-01;3;Indiranagar;0
2025-08-01;4;Indiranagar;4
2025-08-01;5;Indiranagar;41
2025-08-01;6;Indiranagar;175
2025-08-01;7;Indiranagar;621
2025-08-01;8;Indiranagar;1256
2025-08-01;9;Indiranagar;1907
2025-08-01;10;Indiranagar;1392
2025-08-01;11;Indiranagar;834
2025-08-01;12;Indiranagar;776
2025-08-01;13;Indiranagar;859
2025-08-01;14;Indiranagar;917
2025-08-01;15;Indiranagar;1301
2025-08-01;16;Indiranagar;1660
2025-08-01;17;Indiranagar;2303
2025-08-01;18;Indiranagar;3456
2025-08-01;19;Indiranagar;2982
2025-08-01;20;Indiranagar;1866
2025-08-01;21;Indiranagar;1248
2025-08-01;22;Indiranagar;712
2025-08-01;23;Indiranagar;161
2025-08-01;0;Jalahalli;0
2025-08-01;1;Jalahalli;0
2025-08-01;2;Jalahalli;0
2025-08-01;3;Jalahalli;0
2025-08-01;4;Jalahalli;1
2025-08-01;5;Jalahalli;58
2025-08-01;6;Jalahalli;129
2025-08-01;7;Jalahalli;418
2025-08-01;8;Jalahalli;753
2025-08-01;9;Jalahalli;909
2025-08-01;10;Jalahalli;573
2025-08-01;11;Jalahalli;404
2025-08-01;12;Jalahalli;338
2025-08-01;13;Jalahalli;297
2025-08-01;14;Jalahalli;298
2025-08-01;15;Jalahalli;254
2025-08-01;16;Jalahalli;346
2025-08-01;17;Jalahalli;520
2025-08-01;18;Jalahalli;739
2025-08-01;19;Jalahalli;549
2025-08-01;20;Jalahalli;370
2025-08-01;21;Jalahalli;241
2025-08-01;22;Jalahalli;131
2025-08-01;23;Jalahalli;7
2025-08-01;0;Jaya Prakash Nagar;0
2025-08-01;1;Jaya Prakash Nagar;0
2025-08-01;2;Jaya Prakash Nagar;0
2025-08-01;3;Jaya Prakash Nagar;0
2025-08-01;4;Jaya Prakash Nagar;2
2025-08-01;5;Jaya Prakash Nagar;73
2025-08-01;6;Jaya Prakash Nagar;138
2025-08-01;7;Jaya Prakash Nagar;485
2025-08-01;8;Jaya Prakash Nagar;1233
2025-08-01;9;Jaya Prakash Nagar;1428
2025-08-01;10;Jaya Prakash Nagar;842
2025-08-01;11;Jaya Prakash Nagar;463
2025-08-01;12;Jaya Prakash Nagar;483
2025-08-01;13;Jaya Prakash Nagar;418
2025-08-01;14;Jaya Prakash Nagar;412
2025-08-01;15;Jaya Prakash Nagar;426
2025-08-01;16;Jaya Prakash Nagar;578
2025-08-01;17;Jaya Prakash Nagar;711
2025-08-01;18;Jaya Prakash Nagar;940
2025-08-01;19;Jaya Prakash Nagar;889
2025-08-01;20;Jaya Prakash Nagar;584
2025-08-01;21;Jaya Prakash Nagar;405
2025-08-01;22;Jaya Prakash Nagar;223
2025-08-01;23;Jaya Prakash Nagar;27
2025-08-01;0;Jayanagar;0
2025-08-01;1;Jayanagar;0
2025-08-01;2;Jayanagar;0
2025-08-01;3;Jayanagar;0
2025-08-01;4;Jayanagar;9
2025-08-01;5;Jayanagar;35
2025-08-01;6;Jayanagar;104
2025-08-01;7;Jayanagar;301
2025-08-01;8;Jayanagar;668
2025-08-01;9;Jayanagar;772
2025-08-01;10;Jayanagar;656
2025-08-01;11;Jayanagar;504
2025-08-01;12;Jayanagar;635
2025-08-01;13;Jayanagar;684
2025-08-01;14;Jayanagar;730
2025-08-01;15;Jayanagar;830
